t_s,dropped_high,dropped_normal,depth_high,depth_normal,received
0.13,0,4,0,0,1922
0.38,0,4,0,0,9269
0.63,0,4,0,0,16920
0.89,0,14,0,0,24611
1.13,0,535,0,0,73612
1.35,0,2586,0,0,229886
1.57,0,2586,0,0,236524
1.79,0,2586,0,0,243243
2.02,0,2586,0,0,250096
2.26,0,3885,0,64,377039
2.49,0,4724,0,0,455203
2.72,0,4724,0,0,462136
2.95,0,4724,0,0,469157
3.19,0,5271,0,0,527237
3.45,0,6291,0,0,674856
3.71,0,6291,0,0,682572
3.96,0,6291,0,0,690116
4.19,0,6633,0,0,737562
4.42,0,8500,0,0,894107
4.65,0,8500,0,0,901068
4.91,0,8500,0,0,908568
5.17,0,9733,2,10,991457
5.40,1,10960,0,0,1115415
5.62,1,10960,0,0,1122076
5.85,1,10960,0,0,1129004
6.11,1,10960,0,0,1135554
6.37,1,10960,0,0,1135554
6.63,1,10960,0,0,1135554
6.88,1,10960,0,0,1135554
7.13,1,10960,0,0,1135554
7.36,1,10960,0,0,1135554
7.05,1,10960,0,0,1135554
7.33,1,10960,0,0,1135554
7.67,1,10960,0,0,1135554
7.92,1,10960,0,0,1135554
